year,id,name,income,pop,state_inc_tax,local_inc_tax
1974,17000,Illinois,73216354,11273745,1099249,0
1975,17000,Illinois,79866258,11306351,1158795,0
1976,17000,Illinois,86832272,11360274,1315822,0
1977,17000,Illinois,95459667,11406312,1456164,0
1978,17000,Illinois,105341668,11434421,1657533,0
1979,17000,Illinois,115569523,11422782,1827782,0
1980,17000,Illinois,125210963,11434702,1975327,0
1981,17000,Illinois,138876970,11443461,2124209,0
1982,17000,Illinois,147011703,11423413,2212233,0
1983,17000,Illinois,153020000,11408817,2553766,0
1984,17000,Illinois,168717146,11412128,2791223,0
1985,17000,Illinois,177209780,11399803,2584315,0
1986,17000,Illinois,186405471,11387256,2768042,0
1987,17000,Illinois,197182970,11391176,3071033,0
1988,17000,Illinois,212642707,11390186,3331083,0
1989,17000,Illinois,226917198,11409782,3848053,0
1990,17000,Illinois,240801311,11453316,4575051,0
1991,17000,Illinois,245871942,11568964,4488865,0
1992,17000,Illinois,265737040,11694184,4747200,0
1993,17000,Illinois,275362591,11809579,4944016,0
1994,17000,Illinois,290054676,11912585,5224306,0
1995,17000,Illinois,307809314,12008437,5634811,0
1996,17000,Illinois,327552925,12101997,6065024,0
1997,17000,Illinois,346339144,12185715,6647211,0
1998,17000,Illinois,367298557,12271847,7071441,0
1999,17000,Illinois,383972540,12359020,7490120,0
2000,17000,Illinois,412965474,12434161,7610292,0
2001,17000,Illinois,428339195,12488445,7331115,0
2002,17000,Illinois,433314863,12525556,7520695,0
2003,17000,Illinois,442126402,12556006,7142358,0
2004,17000,Illinois,459761463,12589773,7279041,0
2005,17000,Illinois,478865630,12609903,8180141,0
2006,17000,Illinois,510377022,12643955,8945049,0
2007,17000,Illinois,539737436,12695866,9583178,0
2008,17000,Illinois,553983863,12747038,10279052,0
2009,17000,Illinois,526967646,12796778,9168892,0
2010,17000,Illinois,543084289,12845511,9569256,0
2011,17000,Illinois,569775540,12892740,13457231,0
2012,17000,Illinois,595073548,12928106,15446961,0
2013,17000,Illinois,609778574,12960987,16697687,0
2014,17000,Illinois,638639973,12970348,15753788,0
2015,17000,Illinois,666943662,12964764,14975155,0
2016,17000,Illinois,673690951,12946698,13434073,0
2017,17000,Illinois,693330956,12924504,14029850,0
2018,17000,Illinois,728366162,12888646,15349480,0
2019,17000,Illinois,748811625,12850150,18176561,0
2020,17000,Illinois,792135458,12785245,20310117,0
1948,18000,Indiana,5615713,3877000,0,0
1949,18000,Indiana,5372196,3958000,0,0
1950,18000,Indiana,6049348,3967000,0,0
1951,18000,Indiana,7042729,4096000,0,0
1952,18000,Indiana,7409050,4148000,0,0
1953,18000,Indiana,8162862,4182000,0,0
1954,18000,Indiana,7716807,4264000,0,0
1955,18000,Indiana,8323784,4363000,0,0
1956,18000,Indiana,8965142,4458000,0,0
1957,18000,Indiana,9265587,4529000,0,0
1958,18000,Indiana,9272128,4583000,0,0
1959,18000,Indiana,9874593,4613000,0,0
1960,18000,Indiana,10390313,4674000,0,0
1961,18000,Indiana,10707093,4730000,0,0
1962,18000,Indiana,11464231,4736000,0,0
1963,18000,Indiana,12042777,4799000,56269,0
1964,18000,Indiana,12816882,4856000,124188,0
1965,18000,Indiana,14162129,4922000,118445,0
1966,18000,Indiana,15287615,4999000,155957,0
1967,18000,Indiana,16017211,5053000,166266,0
1968,18000,Indiana,17412458,5093000,169196,0
1969,18000,Indiana,19238335,5143000,192407,0
1970,18000,Indiana,20028723,5203700,182300,0
1971,18000,Indiana,21793740,5249921,214327,0
1972,18000,Indiana,23846523,5296129,262310,0
1973,18000,Indiana,27368399,5329122,299155,0
1974,18000,Indiana,29274320,5349886,391532,0
1975,18000,Indiana,31607533,5351080,382605,23764
1976,18000,Indiana,35131556,5371552,424651,25705
1977,18000,Indiana,38900918,5405075,512981,38501
1978,18000,Indiana,43398431,5446403,573308,44976
1979,18000,Indiana,47805688,5474909,636505,48885
1980,18000,Indiana,51418727,5490721,529741,44768
1981,18000,Indiana,56406955,5480440,675516,50621
1982,18000,Indiana,58429262,5467918,710427,51973
1983,18000,Indiana,61276454,5450396,1041636,55809
1984,18000,Indiana,68009268,5458322,1271751,76453
1985,18000,Indiana,71812804,5459214,1325822,78243
1986,18000,Indiana,75637237,5454103,1369737,111720
1987,18000,Indiana,80257463,5473023,1519942,113766
1988,18000,Indiana,85926055,5491733,1842102,213330
1989,18000,Indiana,93580934,5523679,2103435,235512
1990,18000,Indiana,98748774,5557798,2109319,279604
1991,18000,Indiana,101775143,5616388,2194020,326044
1992,18000,Indiana,110147929,5674547,2353788,383500
1993,18000,Indiana,116112382,5739019,2483137,378391
1994,18000,Indiana,123384197,5793526,2677016,392563
1995,18000,Indiana,129005550,5851459,2912549,429314
1996,18000,Indiana,136363455,5906013,3097534,422471
1997,18000,Indiana,143496312,5955267,3320441,437515
1998,18000,Indiana,154708362,5998880,3543434,487211
1999,18000,Indiana,160797555,6044969,3750275,508446
2000,18000,Indiana,171501465,6091866,3745593,514741
2001,18000,Indiana,175494336,6127760,3746874,568189
2002,18000,Indiana,178021079,6155967,3570723,1000634
2003,18000,Indiana,182928699,6196638,3648711,970619
2004,18000,Indiana,191918747,6233007,3871709,971810
2005,18000,Indiana,198189001,6278616,4206086,928541
2006,18000,Indiana,209756226,6332669,4344286,1134299
2007,18000,Indiana,217254190,6379599,4625165,1293699
2008,18000,Indiana,227486536,6424806,4770141,1354140
2009,18000,Indiana,221343202,6459325,4038244,1388243
2010,18000,Indiana,231707192,6491352,4098304,1622652
2011,18000,Indiana,246494012,6521259,4620633,1676048
2012,18000,Indiana,258136431,6546242,4693361,1429022
2013,18000,Indiana,261702287,6581101,4966473,1233639
2014,18000,Indiana,272244928,6609839,4991045,1186016
2015,18000,Indiana,282821367,6628556,5266005,1207667
2016,18000,Indiana,290604355,6658366,5288319,1282684
2017,18000,Indiana,301643842,6685900,5528400,637210
2018,18000,Indiana,316782272,6725753,5724127,926337
2019,18000,Indiana,329681959,6761742,7566298,982510
2020,18000,Indiana,350759528,6785644,9391691,1046314
1948,19000,Iowa,4122733,2543000,16086,0
1949,19000,Iowa,3510740,2578000,16614,0
1950,19000,Iowa,4039100,2625000,16746,0
1951,19000,Iowa,4311347,2617000,19106,0
1952,19000,Iowa,4576210,2626000,18930,0
1953,19000,Iowa,4406278,2629000,19250,0
1954,19000,Iowa,4765557,2626000,21167,0
1955,19000,Iowa,4542454,2679000,23269,0
1956,19000,Iowa,4821021,2703000,26637,0
1957,19000,Iowa,5347617,2716000,28937,0
1958,19000,Iowa,5463313,2708000,31884,0
1959,19000,Iowa,5602311,2729000,36156,0
1960,19000,Iowa,5745131,2756000,36885,0
1961,19000,Iowa,6083837,2756000,38889,0
1962,19000,Iowa,6344459,2750000,42625,0
1963,19000,Iowa,6744215,2747000,48944,0
1964,19000,Iowa,7059364,2746000,48137,0
1965,19000,Iowa,7818396,2742000,61215,0
1966,19000,Iowa,8513102,2762000,104303,0
1967,19000,Iowa,8671529,2793000,99699,0
1968,19000,Iowa,9347077,2803000,90990,0
1969,19000,Iowa,10374042,2805000,110019,0
1970,19000,Iowa,11094958,2828534,115937,0
1971,19000,Iowa,11641612,2851828,141918,0
1972,19000,Iowa,13040147,2860506,218058,0
1973,19000,Iowa,15654782,2864031,261862,0
1974,19000,Iowa,16224999,2867941,338868,0
1975,19000,Iowa,18133702,2881425,374919,0
1976,19000,Iowa,19280266,2903770,408902,0
1977,19000,Iowa,21275256,2914308,480088,0
1978,19000,Iowa,24537218,2919008,522115,0
1979,19000,Iowa,26298368,2916803,596112,0
1980,19000,Iowa,27993694,2914018,602580,0
1981,19000,Iowa,31680973,2907985,711370,0
1982,19000,Iowa,32544391,2888190,723589,0
1983,19000,Iowa,33149477,2870547,752077,0
1984,19000,Iowa,36944129,2858615,817642,0
1985,19000,Iowa,38216260,2829684,846994,0
1986,19000,Iowa,39480301,2791969,870533,0
1987,19000,Iowa,41377402,2767006,1004389,57
1988,19000,Iowa,42759779,2768393,1139041,68
1989,19000,Iowa,46555049,2770590,1221911,1284
1990,19000,Iowa,49023054,2781018,1340540,3387
1991,19000,Iowa,50144695,2797613,1388189,4969
1992,19000,Iowa,53791872,2818401,1453904,11951
1993,19000,Iowa,54052557,2836972,1491648,18010
1994,19000,Iowa,58946166,2850746,1576383,20410
1995,19000,Iowa,61328566,2867373,1628236,24957
1996,19000,Iowa,66840910,2880000,1662311,26263
1997,19000,Iowa,69956071,2891119,1781800,28670
1998,19000,Iowa,73171914,2902872,1822954,35715
1999,19000,Iowa,75098662,2917634,1766591,34127
2000,19000,Iowa,80228537,2929067,1890908,36884
2001,19000,Iowa,82571095,2931997,1912636,46369
2002,19000,Iowa,84424009,2934234,1800964,45112
2003,19000,Iowa,86443807,2941999,1804421,49955
2004,19000,Iowa,93643080,2953635,1987248,53620
2005,19000,Iowa,96704540,2964454,2218586,60671
2006,19000,Iowa,102746788,2982644,2393248,61947
2007,19000,Iowa,110011004,2999212,2896099,80187
2008,19000,Iowa,116756720,3016734,2849376,82655
2009,19000,Iowa,113084524,3032870,2695160,94809
2010,19000,Iowa,116906023,3051447,2667602,101654
2011,19000,Iowa,125978180,3069937,2906524,95330
2012,19000,Iowa,132158943,3082570,3116512,103994
2013,19000,Iowa,134757839,3102253,3338618,105763
2014,19000,Iowa,139531286,3121583,3286138,118558
2015,19000,Iowa,144587626,3136111,3539650,103348
2016,19000,Iowa,145790014,3149432,3578403,100045
2017,19000,Iowa,149547584,3162621,3711046,105803
2018,19000,Iowa,156072161,3171441,3854606,103489
2019,19000,Iowa,159664542,3183831,4245723,109765
2020,19000,Iowa,169181641,3188669,4479117,118321
1948,20000,Kansas,2554655,1892000,10708,0
1949,20000,Kansas,2530134,1925000,10318,0
1950,20000,Kansas,2838336,1916000,9026,0
1951,20000,Kansas,3162374,1950000,10563,0
1952,20000,Kansas,3684638,1977000,11353,0
1953,20000,Kansas,3547609,1994000,11490,0
1954,20000,Kansas,3755245,2042000,12073,0
1955,20000,Kansas,3768390,2093000,12689,0
1956,20000,Kansas,3964218,2119000,12897,0
1957,20000,Kansas,4184657,2128000,14010,0
1958,20000,Kansas,4593383,2142000,18011,0
1959,20000,Kansas,4642210,2160000,22926,0
1960,20000,Kansas,4827068,2183000,23927,0
1961,20000,Kansas,5039395,2215000,25173,0
1962,20000,Kansas,5243977,2231000,26999,0
1963,20000,Kansas,5364419,2217000,29211,0
1964,20000,Kansas,5649715,2209000,28778,0
1965,20000,Kansas,6023957,2206000,33214,0
1966,20000,Kansas,6452349,2200000,76961,0
1967,20000,Kansas,6755708,2197000,71271,0
1968,20000,Kansas,7360284,2216000,61096,0
1969,20000,Kansas,8194786,2236000,76382,0
1970,20000,Kansas,8892704,2247823,78557,0
1971,20000,Kansas,9654247,2246132,82511,0
1972,20000,Kansas,10763347,2255525,101620,0
1973,20000,Kansas,12266343,2264369,127242,0
1974,20000,Kansas,13261982,2267881,155993,0
1975,20000,Kansas,14487553,2278621,170390,0
1976,20000,Kansas,15746176,2298645,218307,0
1977,20000,Kansas,17182123,2317836,220149,0
1978,20000,Kansas,19014323,2332815,272656,0
1979,20000,Kansas,21715020,2347370,313997,0
1980,20000,Kansas,23869212,2369039,365851,0
1981,20000,Kansas,27049193,2384853,440176,0
1982,20000,Kansas,29326755,2401207,482231,0
1983,20000,Kansas,30539523,2415529,563931,0
1984,20000,Kansas,33517603,2424088,591713,0
1985,20000,Kansas,35255364,2427401,618174,0
1986,20000,Kansas,36958647,2432614,596979,0
1987,20000,Kansas,38647862,2445367,671358,0
1988,20000,Kansas,40703637,2461995,854224,0
1989,20000,Kansas,43110166,2472838,832228,0
1990,20000,Kansas,45751168,2481349,869472,0
1991,20000,Kansas,47309589,2498722,909750,0
1992,20000,Kansas,50940234,2532394,946794,0
1993,20000,Kansas,53311941,2556547,1120042,0
1994,20000,Kansas,55736292,2580513,1223806,0
1995,20000,Kansas,58129314,2601007,1325854,0
1996,20000,Kansas,61934152,2614554,1452463,0
1997,20000,Kansas,65771107,2635292,1630934,0
1998,20000,Kansas,69763065,2660598,1743792,0
1999,20000,Kansas,72120692,2678338,1742460,0
2000,20000,Kansas,76105125,2693681,1931760,0
2001,20000,Kansas,78664651,2702162,2010178,0
2002,20000,Kansas,79365190,2713535,1839120,0
2003,20000,Kansas,81890340,2723004,1793200,0
2004,20000,Kansas,84335940,2734373,1900980,0
2005,20000,Kansas,89346228,2745299,2141414,0
2006,20000,Kansas,98610188,2762931,2380708,0
2007,20000,Kansas,105943199,2783785,2813337,1786
2008,20000,Kansas,115852478,2808076,2960918,2414
2009,20000,Kansas,111697350,2832704,2629421,2011
2010,20000,Kansas,114239828,2858822,2622447,3859
2011,20000,Kansas,123558772,2872476,2758472,3559
2012,20000,Kansas,130948127,2891101,2818602,1978
2013,20000,Kansas,133979908,2901661,2751804,2561
2014,20000,Kansas,136878718,2911506,2352612,1941
2015,20000,Kansas,138336768,2922671,2264817,1857
2016,20000,Kansas,138533890,2927230,2263338,1674
2017,20000,Kansas,142729689,2927419,2821023,1420
2018,20000,Kansas,148955739,2931572,3467410,1427
2019,20000,Kansas,154961001,2933747,3771749,1514
2020,20000,Kansas,163462179,2935880,3823092,1631
1948,21000,Kentucky,2819336,2817000,8787,1677
1949,21000,Kentucky,2679482,2849000,10774,2449
1950,21000,Kentucky,2931480,2936000,12569,4112
1951,21000,Kentucky,3445459,2941000,16419,4628
1952,21000,Kentucky,3666250,2920000,19168,6264
1953,21000,Kentucky,3852643,2903000,20078,6497
1954,21000,Kentucky,3803429,2902000,26581,7724
1955,21000,Kentucky,3980952,2910000,31470,9363
1956,21000,Kentucky,4206877,2898000,37489,9811
1957,21000,Kentucky,4416067,2928000,46669,11464
1958,21000,Kentucky,4623198,2961000,45947,14196
1959,21000,Kentucky,4862602,2999000,48584,16980
1960,21000,Kentucky,5022016,3041000,49813,18918
1961,21000,Kentucky,5346005,3054000,41984,19043
1962,21000,Kentucky,5677786,3079000,39757,26006
1963,21000,Kentucky,5967887,3096000,47654,25076
1964,21000,Kentucky,6225454,3129000,52176,33567
1965,21000,Kentucky,6749598,3140000,62167,35565
1966,21000,Kentucky,7379420,3147000,75701,42544
1967,21000,Kentucky,7987572,3172000,83683,44797
1968,21000,Kentucky,8731440,3195000,100753,47283
1969,21000,Kentucky,9711706,3198000,114524,52191
1970,21000,Kentucky,10534849,3230587,128729,53455
1971,21000,Kentucky,11466051,3298262,149119,56209
1972,21000,Kentucky,12679771,3336106,164295,68694
1973,21000,Kentucky,14252540,3371573,217596,67622
1974,21000,Kentucky,16052187,3417039,247631,83200
1975,21000,Kentucky,17479191,3468755,269310,98140
1976,21000,Kentucky,19544359,3530443,310913,127675
1977,21000,Kentucky,21933925,3575001,353618,141613
1978,21000,Kentucky,24444005,3611382,418333,153551
1979,21000,Kentucky,27454717,3643655,489030,161537
1980,21000,Kentucky,29871559,3664221,527236,150392
1981,21000,Kentucky,33237716,3670395,592875,180667
1982,21000,Kentucky,35402015,3683449,636240,198612
1983,21000,Kentucky,36755022,3694469,674305,200537
1984,21000,Kentucky,41061960,3695459,747799,183266
1985,21000,Kentucky,42815517,3694816,798885,194448
1986,21000,Kentucky,44018975,3687805,846103,210582
1987,21000,Kentucky,46497318,3683330,932447,222628
1988,21000,Kentucky,50573350,3680002,1060470,305526
1989,21000,Kentucky,54363695,3677318,1160466,326132
1990,21000,Kentucky,57673405,3694048,1440425,354675
1991,21000,Kentucky,60843249,3722328,1489284,366792
1992,21000,Kentucky,65547256,3765469,1723672,395552
1993,21000,Kentucky,68128162,3812206,1735460,399661
1994,21000,Kentucky,71608306,3849088,1905826,439149
1995,21000,Kentucky,75054417,3887427,2079168,483707
1996,21000,Kentucky,79620527,3919535,2144685,527438
1997,21000,Kentucky,84542128,3952747,2299744,615728
1998,21000,Kentucky,89452395,3985390,2446342,676196
1999,21000,Kentucky,93315383,4018053,2610487,711486
2000,21000,Kentucky,100691406,4049021,2678475,737134
2001,21000,Kentucky,104126894,4068132,2738172,748425
2002,21000,Kentucky,106568397,4089875,2695059,817511
2003,21000,Kentucky,109876646,4117170,2820344,859963
2004,21000,Kentucky,116453381,4146101,2841334,861126
2005,21000,Kentucky,122305663,4182742,3030771,946411
2006,21000,Kentucky,129361302,4219239,2893716,1016568
2007,21000,Kentucky,135056801,4256672,3121745,1071010
2008,21000,Kentucky,141572559,4289878,3574077,1044906
2009,21000,Kentucky,139861726,4317074,3195866,1023985
2010,21000,Kentucky,145301180,4349138,3186811,1091622
2011,21000,Kentucky,152218739,4374212,3424800,1121958
2012,21000,Kentucky,157635717,4394010,3486926,1207555
2013,21000,Kentucky,159224753,4415821,3760270,1189985
2014,21000,Kentucky,166717085,4428679,3852567,1280039
2015,21000,Kentucky,174331189,4443606,4208102,1293706
2016,21000,Kentucky,177190630,4457599,4306851,1318289
2017,21000,Kentucky,182475996,4475723,4369742,1491930
2018,21000,Kentucky,188362010,4487233,4400784,1493144
2019,21000,Kentucky,196250549,4498141,4984641,1583688
2020,21000,Kentucky,211947617,4503958,5464710,1683481
1948,22000,Louisiana,2656359,2596000,6884,0
1949,22000,Louisiana,2849777,2634000,6167,0
1950,22000,Louisiana,3053298,2697000,6037,0
1951,22000,Louisiana,3416721,2769000,6637,0
1952,22000,Louisiana,3721162,2842000,6440,0
1953,22000,Louisiana,3936954,2866000,5662,0
1954,22000,Louisiana,3933666,2883000,6135,0
1955,22000,Louisiana,4181624,2946000,7618,0
1956,22000,Louisiana,4644139,3032000,10197,0
1957,22000,Louisiana,5139763,3115000,11993,0
1958,22000,Louisiana,5266440,3155000,11605,0
1959,22000,Louisiana,5503398,3208000,12063,0
1960,22000,Louisiana,5591241,3260000,14636,0
1961,22000,Louisiana,5818576,3287000,17580,0
1962,22000,Louisiana,6157821,3345000,16504,0
1963,22000,Louisiana,6563643,3377000,20826,0
1964,22000,Louisiana,7016335,3446000,36007,0
1965,22000,Louisiana,7601835,3496000,21913,0
1966,22000,Louisiana,8410260,3550000,33451,0
1967,22000,Louisiana,9225277,3581000,38138,0
1968,22000,Louisiana,10105617,3603000,43381,0
1969,22000,Louisiana,10765877,3619000,47351,0
1970,22000,Louisiana,11663035,3650209,51571,0
1971,22000,Louisiana,12715230,3710666,92812,0
1972,22000,Louisiana,13912080,3761967,108128,0
1973,22000,Louisiana,15528477,3788840,121279,0
1974,22000,Louisiana,17651808,3820720,94535,0
1975,22000,Louisiana,19875142,3886963,123076,0
1976,22000,Louisiana,22415528,3951636,126199,0
1977,22000,Louisiana,25031404,4015582,146366,0
1978,22000,Louisiana,28630805,4073288,219564,0
1979,22000,Louisiana,32478004,4139316,258297,0
1980,22000,Louisiana,37368848,4223101,269990,0
1981,22000,Louisiana,43084374,4283297,195168,0
1982,22000,Louisiana,46379689,4352609,219630,0
1983,22000,Louisiana,48422536,4395311,223023,0
1984,22000,Louisiana,51504460,4400474,473184,0
1985,22000,Louisiana,53629661,4408113,561047,0
1986,22000,Louisiana,53695136,4406922,461367,0
1987,22000,Louisiana,53932056,4344151,453779,0
1988,22000,Louisiana,56881207,4288859,613263,0
1989,22000,Louisiana,60326085,4252896,698641,0
1990,22000,Louisiana,64880918,4221532,785251,0
1991,22000,Louisiana,68408285,4253279,822076,0
1992,22000,Louisiana,73263960,4293003,907916,0
1993,22000,Louisiana,76872654,4316428,955942,0
1994,22000,Louisiana,81905818,4347481,1028125,0
1995,22000,Louisiana,85953266,4378779,1128582,0
1996,22000,Louisiana,89776927,4398877,1367147,0
1997,22000,Louisiana,94400601,4421071,1507774,0
1998,22000,Louisiana,99070805,4440344,1483622,0
1999,22000,Louisiana,101467683,4460811,1568971,0
2000,22000,Louisiana,107310631,4471885,1656981,0
2001,22000,Louisiana,114917421,4477875,1854232,0
2002,22000,Louisiana,118229417,4497267,1860617,0
2003,22000,Louisiana,122169803,4521042,1884259,0
2004,22000,Louisiana,127758432,4552238,2246434,0
2005,22000,Louisiana,137935112,4576628,2194769,0
2006,22000,Louisiana,145645475,4302665,2479851,0
2007,22000,Louisiana,159411284,4375581,3279741,0
2008,22000,Louisiana,170869293,4435586,3063980,0
2009,22000,Louisiana,165876246,4491648,2877269,0
2010,22000,Louisiana,173800833,4544800,2274344,0
2011,22000,Louisiana,179073440,4577075,2411031,0
2012,22000,Louisiana,188760806,4603574,2513170,0
2013,22000,Louisiana,191497268,4628228,2764593,0
2014,22000,Louisiana,200293914,4648811,2826707,0
2015,22000,Louisiana,201363461,4670563,2947411,0
2016,22000,Louisiana,200190623,4685605,2887227,0
2017,22000,Louisiana,206203183,4678606,3044509,0
2018,22000,Louisiana,215111592,4670052,3413091,0
2019,22000,Louisiana,222059671,4664558,4083112,0
2020,22000,Louisiana,236327179,4651203,4429533,0
1948,23000,Maine,1114646,878000,0,0
1949,23000,Maine,1096395,903000,0,0
1950,23000,Maine,1124642,917000,0,0
1951,23000,Maine,1245899,916000,0,0
1952,23000,Maine,1363456,915000,0,0
1953,23000,Maine,1373842,913000,0,0
1954,23000,Maine,1397789,927000,0,0
1955,23000,Maine,1535856,934000,0,0
1956,23000,Maine,1625844,938000,0,0
1957,23000,Maine,1690771,943000,0,0
1958,23000,Maine,1761298,944000,0,0
1959,23000,Maine,1840997,957000,0,0
1960,23000,Maine,1952398,975000,0,0
1961,23000,Maine,1977369,995000,0,0
1962,23000,Maine,2054399,994000,0,0
1963,23000,Maine,2122231,993000,0,0
1964,23000,Maine,2292678,993000,0,0
1965,23000,Maine,2474313,997000,0,0
1966,23000,Maine,2629834,999000,0,0
1967,23000,Maine,2760699,1004000,0,0
1968,23000,Maine,2940025,994000,0,0
1969,23000,Maine,3235956,992000,5806,0
1970,23000,Maine,3557067,996784,24986,0
1971,23000,Maine,3822683,1015677,25603,0
1972,23000,Maine,4187722,1034817,29735,0
1973,23000,Maine,4706690,1046420,35171,0
1974,23000,Maine,5229257,1060050,42571,0
1975,23000,Maine,5652308,1073280,47414,0
1976,23000,Maine,6446973,1089960,59910,0
1977,23000,Maine,7007608,1105369,85480,0
1978,23000,Maine,7740514,1115457,114682,0
1979,23000,Maine,8589911,1124927,122144,0
1980,23000,Maine,9653484,1126860,157244,0
1981,23000,Maine,10651560,1133033,194485,0
1982,23000,Maine,11580973,1136683,223040,0
1983,23000,Maine,12472953,1144772,250581,0
1984,23000,Maine,13786735,1155634,282264,0
1985,23000,Maine,14893299,1162935,317372,0
1986,23000,Maine,16123204,1170126,361153,0
1987,23000,Maine,17490913,1184577,461615,0
1988,23000,Maine,19277248,1203840,570256,0
1989,23000,Maine,21011342,1219961,558432,0
1990,23000,Maine,21870390,1231719,638741,0
1991,23000,Maine,22249656,1237081,591557,0
1992,23000,Maine,23324829,1238508,609472,0
1993,23000,Maine,24094940,1242302,616168,0
1994,23000,Maine,25085736,1242662,639621,0
1995,23000,Maine,26179272,1243480,653687,0
1996,23000,Maine,27653140,1249060,728265,0
1997,23000,Maine,29169522,1254774,809681,0
1998,23000,Maine,31232562,1259127,978739,0
1999,23000,Maine,32656992,1266808,1004438,0
2000,23000,Maine,35107378,1277072,1099894,0
2001,23000,Maine,37058391,1285692,1177519,0
2002,23000,Maine,38323541,1295960,1083283,0
2003,23000,Maine,40247620,1306513,1087659,0
2004,23000,Maine,42315564,1313688,1178129,0
2005,23000,Maine,43421280,1318787,1317047,0
2006,23000,Maine,45599656,1323619,1352017,0
2007,23000,Maine,47357327,1327040,1403322,0
2008,23000,Maine,49445354,1330509,1560715,0
2009,23000,Maine,49402953,1329590,1406696,0
2010,23000,Maine,50603646,1327961,1321004,0
2011,23000,Maine,52789038,1330029,1414876,0
2012,23000,Maine,53782491,1330899,1433044,0
2013,23000,Maine,53742001,1332596,1482331,0
2014,23000,Maine,55863585,1336530,1452205,0
2015,23000,Maine,58331304,1335653,1554318,0
2016,23000,Maine,59959246,1340177,1532123,0
2017,23000,Maine,62428715,1344851,1542832,0
2018,23000,Maine,65121654,1350525,1597798,0
2019,23000,Maine,67855460,1357487,1871799,0
2020,23000,Maine,73192795,1362280,2085104,0
1948,24000,Maryland,3515521,2271000,16795,0
1949,24000,Maryland,3587932,2329000,18767,0
1950,24000,Maryland,4008992,2355000,19026,0
1951,24000,Maryland,4625466,2441000,21483,0
1952,24000,Maryland,5098173,2500000,23424,0
1953,24000,Maryland,5428755,2567000,26260,0
1954,24000,Maryland,5455801,2685000,30121,0
1955,24000,Maryland,5871865,2742000,45897,0
1956,24000,Maryland,6412666,2811000,55399,0
1957,24000,Maryland,6830457,2873000,51439,0
1958,24000,Maryland,6968878,2982000,65091,0
1959,24000,Maryland,7363940,3066000,82889,0
1960,24000,Maryland,7738811,3113000,87346,0
1961,24000,Maryland,8233892,3176000,93327,0
1962,24000,Maryland,8896946,3263000,107567,0
1963,24000,Maryland,9531623,3386000,121404,0
1964,24000,Maryland,10386398,3492000,133164,0
1965,24000,Maryland,11316870,3600000,148333,0
1966,24000,Maryland,12477209,3695000,176027,28736
1967,24000,Maryland,13580174,3757000,213913,63282
1968,24000,Maryland,14999772,3815000,370199,109042
1969,24000,Maryland,17235920,3868000,388019,163091
1970,24000,Maryland,19167231,3938051,431262,180285
1971,24000,Maryland,21125827,4022507,443557,186142
1972,24000,Maryland,23176397,4081121,491582,241124
1973,24000,Maryland,25560539,4109038,614684,255927
1974,24000,Maryland,27902797,4133341,606585,329131
1975,24000,Maryland,30204127,4157208,690944,374850
1976,24000,Maryland,32906940,4172132,764273,410651
1977,24000,Maryland,35675755,4194639,856202,403301
1978,24000,Maryland,39617165,4211641,935249,431625
1979,24000,Maryland,43545511,4223398,1047512,477450
1980,24000,Maryland,48503268,4227643,1137514,464204
1981,24000,Maryland,54043012,4261905,1273847,554318
1982,24000,Maryland,58610648,4282923,1389124,629171
1983,24000,Maryland,62787390,4313329,1516509,663814
1984,24000,Maryland,69664857,4365246,1688552,708675
1985,24000,Maryland,75502898,4413072,1843440,733456
1986,24000,Maryland,81544532,4486956,2019101,874199
1987,24000,Maryland,88007606,4565558,2586021,860423
1988,24000,Maryland,96739717,4657903,2164044,1247983
1989,24000,Maryland,104600690,4727303,2706991,1322179
1990,24000,Maryland,110894044,4799770,2947990,1398885
1991,24000,Maryland,114898652,4867641,2955832,1385724
1992,24000,Maryland,120637356,4923368,3024618,1535483
1993,24000,Maryland,125486122,4971889,3160079,1606847
1994,24000,Maryland,131410405,5023060,3295183,1718471
1995,24000,Maryland,137245369,5070033,3765382,1844531
1996,24000,Maryland,143742306,5111986,3640106,1885641
1997,24000,Maryland,151791457,5157328,4147969,2088183
1998,24000,Maryland,163853853,5204464,4173079,2314328
1999,24000,Maryland,173588820,5254509,4296869,2600825
2000,24000,Maryland,189023506,5311034,4535789,2772216
2001,24000,Maryland,199273079,5374691,5078734,2638021
2002,24000,Maryland,206925251,5440389,4731501,2963993
2003,24000,Maryland,216521541,5496269,4903568,3074306
2004,24000,Maryland,230980240,5546935,5365264,3158436
2005,24000,Maryland,243351451,5592379,5830975,3692738
2006,24000,Maryland,256471520,5627367,6360711,3833794
2007,24000,Maryland,267560847,5653408,6718549,4352628
2008,24000,Maryland,279622862,5684965,6690970,4230438
2009,24000,Maryland,277627489,5730388,6328879,4281011
2010,24000,Maryland,287652437,5791559,6228504,4004783
2011,24000,Maryland,303517765,5854282,6801097,4096020
2012,24000,Maryland,312175752,5913919,7137642,4678808
2013,24000,Maryland,311524042,5962350,7783556,4648489
2014,24000,Maryland,322438196,6008975,7942828,4916239
2015,24000,Maryland,337702762,6049289,8497080,4829313
2016,24000,Maryland,350384383,6079669,8728720,5041890
2017,24000,Maryland,361776730,6112835,9126642,5473539
2018,24000,Maryland,372196856,6138786,9437266,5341369
2019,24000,Maryland,381396696,6163628,10941421,5665270
2020,24000,Maryland,404520746,6172679,12101309,6098581
