h,multlin1,seylin
0,,
1,.2180455,.1524731
2,.2554255,.1360964
3,.2518462,.1313881
4,.2789311,.1261322
5,.3439422,.114691
6,.3901528,.1057381
7,.4175473,.0978579
8,.4509455,.0904659
9,.4771776,.0855597
10,.5032738,.0829011
11,.5264417,.0804677
12,.5404437,.078482
13,.5509325,.0773136
14,.5615775,.0786511
15,.5638784,.0837139
16,.5591006,.0896883
17,.5524297,.0970023
18,.5462165,.1043131
19,.5402059,.110711
20,.5341793,.1151025
