yq,news,ind,bp
1968.25,-.025572,1,-.0450905
1968.5,0,1,-.0193637
1968.75,0,1,-.0216682
1969,0,1,-.0283478
1969.25,0,1,-.0353333
1969.5,0,0,-.0314511
1969.75,0,0,-.0349388
1970,-.004804,0,-.004425
1970.25,-.002848,0,.0086554
1970.5,0,0,.0171921
1970.75,0,0,.0014155
1971,0,0,.0163563
1971.25,0,1,.0408516
1971.5,0,1,.0110339
1971.75,0,1,.0148516
1972,0,1,.0431898
1972.25,0,1,-.003252
1972.5,0,1,-.0235156
1972.75,0,1,-.0038421
1973,0,1,.0058871
1973.25,0,1,-.0415731
1973.5,-.003527,1,-.0563613
1973.75,.00348,1,-.020292
1974,0,1,.0017623
1974.25,0,1,-.0434502
1974.5,0,1,-.0358123
1974.75,0,1,-.0240626
1975,0,1,-.0107739
1975.25,0,1,-.0140561
1975.5,0,1,-.0011788
1975.75,0,1,-.0056847
1976,.002265,1,-.0073517
1976.25,0,1,-.0166557
1976.5,0,1,-.0178133
1976.75,0,1,-.0004187
1977,0,1,.005436
1977.25,0,1,-.0382485
1977.5,-.002427,1,-.0296951
1977.75,0,1,-.0354753
1978,0,1,-.0344671
1978.25,0,1,-.0036299
1978.5,0,1,-.0287912
1978.75,0,1,-.0458655
1979,.004432,1,-.0325792
1979.25,0,1,-.003231
1979.5,0,1,-.0137902
1979.75,0,1,-.0022653
1980,.061925,1,-.0070108
1980.25,0,1,-.0352819
1980.5,0,1,-.0292339
1980.75,0,1,.0052584
1981,.024887,1,-.0115142
1981.25,0,0,-.0528832
1981.5,0,0,-.0398261
1981.75,0,0,.0091638
1982,0,0,-.0239973
1982.25,0,0,.0294804
1982.5,0,0,.0011855
1982.75,0,0,.0148897
1983,0,0,.0328602
1983.25,0,0,.0552421
1983.5,0,0,.0330948
1983.75,0,0,-.0040158
1984,0,0,.044097
1984.25,0,0,.024794
1984.5,0,0,.0169499
1984.75,0,0,.0116211
1985,0,0,-.0034553
1985.25,0,0,.0083297
1985.5,0,0,.007022
1985.75,0,0,-.0065119
1986,0,0,-.0080742
1986.25,0,0,.0116872
1986.5,0,0,.0222959
1986.75,-.019352,0,-.0070289
1987,0,0,.0036987
1987.25,0,0,.055555
1987.5,0,0,.0268875
1987.75,0,0,.0309849
1988,-.048182,0,.031537
1988.25,0,0,.0593101
1988.5,0,0,.0350254
1988.75,-.011095,0,.0504795
1989,0,0,.0234789
1989.25,0,0,.0280162
1989.5,0,0,.0198644
1989.75,-.088873,0,.0202752
1990,0,1,.0193757
1990.25,0,1,.0021545
1990.5,0,1,.0035771
1990.75,.018592,1,.0197491
1991,0,1,.017304
1991.25,0,1,.011909
1991.5,0,1,.0024056
1991.75,-.018027,1,.0017706
1992,0,1,.0244087
1992.25,0,1,.0187695
1992.5,0,1,.0130005
1992.75,0,1,.00039
1993,0,1,.0026149
1993.25,0,1,-.0037496
1993.5,0,1,.0079591
1993.75,0,1,.0035061
1994,0,1,-.0237165
1994.25,0,1,-.0168069
1994.5,0,1,.0033033
1994.75,0,1,-.0179058
1995,0,1,-.0090898
1995.25,0,1,-.0083116
1995.5,0,1,-.01055
1995.75,0,1,-.0101127
1996,0,1,-.0012882
1996.25,0,1,.0066913
1996.5,0,1,-.0018405
1996.75,0,1,-.0075061
1997,0,1,-.0068417
1997.25,0,1,.002782
1997.5,0,1,-.0128945
1997.75,0,1,-.0113347
1998,0,1,-.0222404
1998.25,0,1,.0117316
1998.5,0,1,-.0082859
1998.75,0,1,-.0061836
1999,.001608,1,-.0155768
1999.25,0,1,-.0114677
1999.5,0,0,.0044502
1999.75,0,0,.0018242
2000,0,0,-.0273976
2000.25,0,0,-.0127629
2000.5,0,0,-.0131726
2000.75,0,0,-.0096379
2001,0,0,-.00206
2001.25,0,0,.0141449
2001.5,.009127,0,-.0145085
2001.75,0,0,.0016033
2002,.027688,0,.0181174
2002.25,0,0,.0175138
2002.5,.008505,0,-.001481
2002.75,0,0,.0052851
2003,.011149,0,.0114703
2003.25,0,0,.0420814
2003.5,.003606,0,-.0007411
2003.75,.006727,0,.0076574
2004,0,1,.0186697
2004.25,.002085,1,.0115198
2004.5,0,1,.0159637
2004.75,0,1,-.0110427
2005,.00796,1,-.0102809
2005.25,0,1,-.0157525
2005.5,0,1,-.0068473
2005.75,0,1,-.0204597
2006,0,0,-.0095264
2006.25,.016683,0,-.0198865
2006.5,0,0,-.0235377
2006.75,0,0,-.0144129
2007,0,0,-.0175395
2007.25,0,0,-.0174389
2007.5,0,0,-.0180799
2007.75,.050742,0,-.0197699
2008,0,0,-.0169271
2008.25,0,0,-.0105733
2008.5,0,0,-.0065395
2008.75,-.016412,0,-.0374208
2009,0,0,-.0309498
2009.25,0,0,.014874
2009.5,0,0,-.011267
2009.75,0,0,-.0295755
2010,0,0,-.0291336
2010.25,0,0,-.0118762
2010.5,0,0,-.020311
2010.75,-.006495,0,-.0407993
2011,0,0,-.0524589
2011.25,0,0,-.0121973
2011.5,-.02516,0,-.0390569
2011.75,-.003118,0,-.0454484
2012,0,0,-.0410503
2012.25,0,0,-.0560266
2012.5,0,0,-.050048
2012.75,0,0,-.0627915
2013,-.029851,0,-.0728245
2013.25,0,0,.0607622
2013.5,0,0,-.0418065
2013.75,0,0,-.0178053
2014,0,0,.0208905
2014.25,0,0,-.0317807
2014.5,0,0,-.0047812
2014.75,0,0,-.0652903
2015,0,0,-.1038441
2015.25,0,0,-.079637
2015.5,0,0,-.0905255
2015.75,0,0,-.1049199
