m,m_se,m_lb,m_ub,zero_line,H_horiz
-.0129143,.0062835,-.0191977,-.0066308,0,0
-.0129556,.0063834,-.019339,-.0065722,0,1
-.0131095,.006658,-.0197675,-.0064515,0,2
-.0078247,.0049146,-.0127393,-.0029102,0,3
.000204,.0059752,-.0057712,.0061791,0,4
-.0050553,.0065841,-.0116393,.0015288,0,5
.0000838,.0060378,-.0059541,.0061216,0,6
-.0007332,.0061756,-.0069088,.0054424,0,7
-.003735,.0068346,-.0105696,.0030997,0,8
-.007555,.0082886,-.0158437,.0007336,0,9
-.0089193,.0090046,-.017924,.0000853,0,10
-.0091599,.0091091,-.018269,-.0000508,0,11
-.008887,.0090054,-.0178924,.0001183,0,12
-.0139442,.0107859,-.0247302,-.0031583,0,13
-.0158282,.013278,-.0291062,-.0025502,0,14
-.0127079,.0119339,-.0246418,-.000774,0,15
-.0105119,.0105602,-.0210722,.0000483,0,16
