m,m_se,m_lb,m_ub,zero_line,H_horiz
-.1473669,.0654622,-.212829,-.0819047,0,0
-.1909548,.0968636,-.2878184,-.0940911,0,1
-.1434547,.1072916,-.2507463,-.0361632,0,2
-.1448452,.1265552,-.2714005,-.01829,0,3
-.1435745,.1224838,-.2660583,-.0210907,0,4
-.0799797,.1011774,-.1811571,.0211977,0,5
-.1353752,.0916726,-.2270478,-.0437027,0,6
-.1393566,.0694226,-.2087792,-.0699339,0,7
-.1519899,.0647946,-.2167845,-.0871954,0,8
-.1163876,.0733943,-.1897819,-.0429933,0,9
-.1139611,.1023316,-.2162926,-.0116295,0,10
-.0409496,.1396828,-.1806324,.0987331,0,11
-.044066,.1265233,-.1705893,.0824573,0,12
-.0095986,.1014569,-.1110554,.0918583,0,13
.0097637,.0875982,-.0778345,.097362,0,14
.0705729,.0816209,-.011048,.1521938,0,15
.1421493,.0832038,.0589456,.2253531,0,16
