m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.297141,.1841944,-.1711068,.4693332,.3631402,4
.7551663,.1752416,-.3005899,.900036,.2731947,8
1.001726,.2450243,.1019263,1.065707,.4365715,12
