m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.4072052,.1498716,.3567951,.1692612,.7666825,4
.6183554,.1124828,.3747863,.2261506,.2323141,8
.7500683,.1346366,.4053229,.2999166,.1891786,12
