m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.2280995,.1855534,.0726875,.1952076,.4556111,4
.6159652,.1478335,.2921051,.2481835,.0732568,8
.7964447,.1504557,.5321462,.2552464,.1547792,12
