m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.2936467,.1834317,-.0760944,.19763,.0787177,4
.6425856,.1477348,-.0288281,.3007709,.0028034,8
.83426,.1640769,.1328188,.3500293,.0075228,12
