m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.4139816,.1093661,.1987091,.1422317,.2290148,4
.6891037,.0582382,.2010559,.2363302,.0529962,8
.7898579,.0833354,.22397,.2522977,.0349697,12
