m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.29467,.1819417,.0396473,.4210584,.5685162,4
.6264501,.154785,-.3878725,.6939463,.1066226,8
.7463849,.1619317,-.7257332,.7888731,.0359891,12
