m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.3856485,.1145977,.1275621,.1580139,.1207668,4
.7041063,.0759789,.1692809,.2392565,.0325466,8
.8373036,.1151267,.2737027,.2499254,.0281209,12
