m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
2.236028,.7197824,-.0909023,.5020257,.0191075,4
2.678733,.5981081,.4294037,.4402901,.0025419,8
2.668498,.451474,1.082403,.4891511,.002521,12
