m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.4227968,.1213273,.1552663,.1956314,.1588558,4
.635903,.0634519,.2592742,.2344492,.0826635,8
.7413452,.0752898,.3803468,.2133037,.0909408,12
