m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
2.377959,.7181733,-.2396381,.5150588,.0080689,4
3.566936,.8093789,.2329375,.4676096,.000539,8
3.350991,.6515028,.868125,.5152817,.0018214,12
