m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.6657627,.1636166,.1754435,.3294866,.065027,4
.679956,.1551177,-.0333416,.45337,.0458652,8
.7989273,.1801448,-.0559922,.5290684,.0460871,12
