m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.4395148,.2294545,.0693724,.2641658,.2270883,4
.7431023,.1454241,.1763829,.36628,.0788193,8
.8767425,.126008,.1428777,.4257023,.0502965,12
