m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
-5.577245,9.992282,-4.729694,16.37136,.9076044,4
-2.275037,5.04788,-3.188124,10.68057,.8766094,8
13.88775,119.964,26.13842,234.317,.914804,12
