m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.3213513,.1617474,-.0420185,.2744717,.2619854,4
.7017823,.1125553,-.0053946,.3302849,.0260388,8
.8580952,.1403101,.2152226,.3269775,.0176568,12
