m_P,m_se_P,m_R,m_se_R,pp_val,H_horiz
.5565841,.0979504,-.0946779,.286203,.0215793,4
.7649306,.1672601,.1185638,.2658083,.0120955,8
.9326786,.20878,.5140313,.356441,.0741101,12
